Name,Research And Development,Total Operating Expense,Operating Income,"Interest Expense, Net - Operating",Income Tax - Total,Net Income Incl Extra Before Distributions,Preferred Dividends,Basic Normalized EPS,Diluted Normalized EPS,Basic Weighted Average Shares,Diluted Weighted Average Shares,DPS - Common Stock Primary Issue,"Gross Margin, Percent","EBIT Margin, Percent",EBITDA,EBIT,Cash and Short Term Investments,Short Term Investments,"Total Receivables, Net",Total Inventory,Total Current Assets,"Property/Plant/Equipment, Total - Net","Intangibles, Net","Goodwill, Net",Long Term Investments,"Total Assets, Reported",Accounts Payable,Notes Payable/Short Term Debt,Total Current Liabilities,Total Long Term Debt,Total Debt,Total Liabilities,Retained Earnings (Accumulated Deficit),Total Equity,Net Debt Incl. Pref.Stock & Min.Interest,"Other Long Term Assets, Total","Other Liabilities, Total",Depreciation And Amortization,"Cash from Operating Activities, Cumulative","Capital Expenditures, Discrete","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","FOCF Ex Dividends, Discrete","Net Change in Cash, Cumulative","Pretax Margin, Percent",Operating Profit Margin,"Net Profit Margin, (%)",Target
CHP.HM,,532927364770.0,254520093090.0,115898591900.0,12417714300.0,242074622320.0,,1647.40909,1647.40909,146912670.0,146912670.0,1425.0,50.81948,46.5366648812,592105221080.0,366451784580.0,91038683480.0,,296555414770.0,6619059170.0,395359537730.0,2793264019180.0,134811340.0,,,3272703458540.0,32427758850.0,0.0,376922719750.0,1261980213580.0,1511526480950.0,1638902933320.0,304072782410.0,1893861790280.0,1241818643860.0,60753467320.0,,359459110.0,310915750990.0,8651381830.0,-4514560900.0,-485070204180.0,302264369160.0,-178669153610.0,32.31864,,30.74169,1
POM.HM,,13782648595070.0,217601232480.0,394720171920.0,33367022920.0,182224441780.0,,642.65118,642.65118,278543550.0,278543550.0,0.0,5.75366,4.110033825,856439297810.0,575415003500.0,424202499320.0,,3091665550650.0,4745847299310.0,8805711950000.0,6097911988720.0,451163160.0,,10000000000.0,14985379086230.0,1559335570430.0,7048188288820.0,6059788047060.0,1508415584940.0,6915284784930.0,7671156651250.0,1476390680.0,3503322249920.0,6829137105750.0,74761030630.0,95883342000.0,8953967260.0,-461051518880.0,965405821440.0,-933563881190.0,1725714986990.0,-1426457340320.0,330985142880.0,1.54209,,1.30158,1
TDC.HM,,1484143885970.0,174063509560.0,154610202630.0,50082224530.0,120773236460.0,,1901.05222,1901.05222,100000000.0,100000000.0,665.0,35.7848,26.828712079,474249094170.0,444875687820.0,65295311360.0,,630649397550.0,1826310901590.0,2527867492510.0,2316376317460.0,72679969430.0,,71535537230.0,5239796337930.0,1474312724110.0,777370730930.0,3432320695820.0,861867141340.0,1574908918060.0,4420615545350.0,169794048230.0,1254987787610.0,1578355617830.0,13304490590.0,94743421320.0,11558719330.0,-43464899220.0,3966926730.0,-1146926730.0,81669550220.0,-47431825950.0,37057724260.0,10.52129,,6.11606,1
OGC.HM,,349375461970.0,60467202410.0,13728621750.0,3915555230.0,144561124800.0,,482.0,482.0,299919350.0,299919350.0,,24.69541,9.5362594397,81491795779.9999,39083659770.0,503353243050.0,333740507950.0,404153312550.0,297520558460.0,1666710338060.0,917201186170.0,60568394380.0,77787090740.0,184297950260.0,3401706828490.0,34970146990.0,22070421120.0,1290182099660.0,153301588030.0,153301588030.0,3290433266170.0,-2661535190620.0,469910104600.0,360984764010.0,742669845660.0,1018773894540.0,,-134000399360.0,79054594240.0,-2804611350.0,17929578880.0,-213054993600.0,-118875431820.0,26.53096,0.0,35.27235,1
NVT.HM,,192559965870.0,-65930117910.0,16494177320.0,-1715912490.0,-53118112680.0,,-586.94047,-586.94047,90500000.0,90500000.0,,14.97289,-40.2167260171,-22902243210.0,-50926379010.0,48067343420.0,26018626560.0,52216130280.0,12377581070.0,140489523160.0,293230333450.0,408286869260.0,193832043760.0,7629678030.0,1062509473980.0,21404307350.0,22741391450.0,84824191290.0,2775043530.0,31554657560.0,260254668900.0,-654548314020.0,275176282820.0,153262974720.0,8367300260.0,,,25930669140.0,5226708810.0,-297358541110.0,287867897710.0,20703960330.0,16470192180.0,-52.77194,,-41.94755,1
TNT.HM,,604186624200.0,36762772340.0,91956100.0,7054133650.0,29736992160.0,,1114.98593,1114.98593,26757530.0,26757530.0,,8.33799,5.6533087597,36776323880.0,36234848380.0,142277524500.0,,80897247850.0,62318508930.0,504617440650.0,561258200.0,0.0,,0.0,586188089030.0,10041345700.0,0.0,83934661930.0,670850000.0,948410000.0,84605511930.0,10989865650.0,268008865650.0,446582440.0,8339020.0,,541475500.0,-113686981700.0,,740238650.0,254722440000.0,-113686981700.0,141775696950.0,5.7401,,4.63952,1
SBA.HM,,188183584660.0,126697453150.0,34103383840.0,6782887070.0,117159016260.0,,1943.38915,1943.38915,60285930.0,60285930.0,1425.0,56.73702,50.9964399371,214026859330.0,160578119320.0,40865726390.0,,94624060760.0,1946458900.0,142541282460.0,1141129613930.0,0.0,,,1295680236210.0,2102735180.0,14066567440.0,186794762810.0,326286214460.0,429110209990.0,513080977260.0,152834355100.0,804267167280.0,417092358360.0,22584712870.0,,293269230.0,162373166030.0,9561180320.0,-9338462650.0,-124186828610.0,152811985710.0,28847874770.0,39.3615,,37.20739,1
PXS.HM,,1084635214600.0,-3133123140.0,9486581250.0,0.0,1206726030.0,,20.1121,20.1121,60000000.0,60000000.0,0.0,-6.9095,0.4646090507,45554815410.0,5024756600.0,93076032290.0,,253545963570.0,237545362230.0,586934119540.0,444067067940.0,10225508140.0,,26036943380.0,1158655753670.0,553453325020.0,85617133600.0,974687775100.0,1530484620.0,121809751890.0,977577077850.0,-364486238740.0,341024035590.0,56147720970.0,104520728480.0,1358818130.0,2049535050.0,63306507370.0,740470950.0,301928070.0,-36192618290.0,62566036420.0,27414001370.0,0.11158,,0.11158,1
DTL.HM,,1326453315290.0,54297796390.0,42738038150.0,-5240306820.0,56129713570.0,,892.99999,892.99999,60655290.0,60655290.0,0.0,11.73104,6.9832873379,160694189440.0,96421817550.0,5631071010.0,1000000.0,171662508430.0,1006276482960.0,1187190914390.0,650199572310.0,6844048450.0,,,1887374886480.0,209769519840.0,415089665190.0,1397225283420.0,14072011160.0,872439304400.0,1418376401410.0,196223515570.0,1010666484200.0,864646636760.0,41188675300.0,,43436630050.0,493661498310.0,48675261100.0,-44714232230.0,-448231540920.0,444986237210.0,848403370.0,3.68563,,3.92288,1
NNC.HM,,121724407990.0,37317098900.0,,6407962740.0,38622174330.0,,1679.41456,1679.41456,21920000.0,21920000.0,,29.66808,22.8134871578,41095110150.0,36282913750.0,81983820490.0,129990.0,37797563370.0,71427623040.0,191283256900.0,21884764280.0,5976685420.0,,103000000000.0,354494400410.0,3794023630.0,0.0,83048109830.0,0.0,0.0,86035888970.0,62282760830.0,305464599540.0,-50805497530.0,31744301720.0,2983083930.0,100681510.0,66124849650.0,1052876000.0,4304408140.0,-39250934820.0,65071973650.0,31178322970.0,28.31345,0.0,22.34159,0
